feature,mean_shap_value
lag_pts,4.2581
lag1_pts,0.2591
lag_net_rating,0.1895
lag_years_from_peak,0.1587
lag_age,0.1521
lag1_net_rating,0.128
lag2_pts,0.1172
lag1_age,0.1168
lag1_years_from_peak,0.1134
lag_usg_pct,0.0786
lag1_usg_pct,0.0785
lag_gp,0.0727
lag2_usg_pct,0.0725
lag2_age,0.0695
lag_player_weight,0.0581
lag2_years_from_peak,0.0579
lag2_ts_pct,0.0572
lag1_ts_pct,0.0565
lag_ts_pct,0.0517
lag2_ast_pct,0.0491
lag2_net_rating,0.0439
lag1_gp,0.0422
lag2_decline_rate,0.0404
lag2_ast,0.0402
lag2_gp,0.0333
lag2_oreb_pct,0.032
lag_ast_pct,0.0306
lag1_ast,0.0295
lag_ast,0.0283
lag1_player_weight,0.0277
lag1_ast_pct,0.0274
lag1_reb,0.027
lag_oreb_pct,0.0264
lag1_oreb_pct,0.0261
lag_reb,0.0247
lag_dreb_pct,0.0239
lag2_player_weight,0.0228
lag1_dreb_pct,0.022
lag2_dreb_pct,0.0215
lag2_reb,0.0207
lag1_decline_rate,0.0166
lag_decline_rate,0.0141
lag_player_height,0.0079
lag1_player_height,0.0077
lag2_player_height,0.0067
